Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj	Ageold.RegimeSel.baseMean	Ageold.RegimeSel.log2FoldChange	Ageold.RegimeSel.lfcSE	Ageold.RegimeSel.stat	Ageold.RegimeSel.pvalue	Ageold.RegimeSel.padj
DM23420	97.4729385653769	0.037706615744956	0.245059430163133	0.153867230164761	0.877714422897964	0.923148681937461	97.4729385653769	-0.725832164147623	0.249420817286351	-2.91007050672247	0.0036134722915699	0.0241157183043124	97.4729385653769	0.356179981428727	0.350940512692689	1.01492979164998	0.310139295815123	0.532872685659675
DM33463	16.4177081737952	-0.189901308016038	0.252753427449495	-0.751330298197376	0.452453899381335	0.605009845240279	16.4177081737952	-0.878524007912701	0.274693689403517	-3.19819508711819	0.0013829069154103	0.0119054218860356	16.4177081737952	0.422770917793896	0.387442025366943	1.09118497765825	0.275191496669825	0.496744245077363
DM88	10.9257080818747	-0.26524866274904	0.310399098983709	-0.854540698144749	0.392805469474448	0.54807026654484	10.9257080818747	-1.06771832023676	0.343440802003235	-3.10888605549758	0.00187794127060426	0.0149432762643809	10.9257080818747	0.54536999205215	0.483774119902893	1.12732361987785	0.259605679427865	0.480086699818556
DMBARI1	4.47808799536489	-0.48055916962357	0.468338678332537	-1.02609327791277	0.304847618525803	0.461297568865743	4.47808799536489	-1.47090288977321	0.54122089003512	-2.71774965980668	0.0065727547471246	0.0373079924409729	4.47808799536489	0.898042829361671	0.758544599404676	1.18390247596051	0.236451669960306	NA
DMBLPP	99.7133304666317	0.64719376977266	0.422022219332333	1.53355378016959	0.12513946640661	0.247413786781015	99.7133304666317	-0.997609601213844	0.427833735387459	-2.33176937370397	0.0197128270130771	0.0812834505816031	99.7133304666317	-0.265280318669492	0.602611662001974	-0.440217698058129	0.659779442752308	0.813233762583463
DMCOPIA	4832.17045539916	2.01402931058665	0.201518701103422	9.99425512152849	1.61496799871574e-23	9.48309208845883e-21	4832.17045539916	-0.970128411362128	0.202112268295501	-4.79994816516402	1.58706702162096e-06	7.01214629146022e-05	4832.17045539916	-0.764575871553957	0.28536260023173	-2.67931351527173	0.00737732837270524	0.0602600835804739
DMCR1A	22.5114318497243	-0.383002716783747	0.232927598921416	-1.64429942418701	0.100114368228282	0.210000645515257	22.5114318497243	-0.894392993344464	0.245826933000601	-3.63830351063395	0.000274439890472902	0.00360909835041595	22.5114318497243	0.738040782755816	0.347616764594095	2.12314496286625	0.0337417062464344	0.146592680207281
DMDM11	20.579909587564	-0.239793118782269	0.416619727970165	-0.575568324502004	0.564906996314557	0.703229570141844	20.579909587564	-1.04249009596818	0.430194861693102	-2.42329741425849	0.0153803290367071	0.0680472534502514	20.579909587564	0.607941280954066	0.606062371080144	1.00310019226334	0.315812521950083	0.538127270238027
DME010298	69.6801599448106	-0.230762903927122	0.266514611582401	-0.865854605708078	0.386569899520998	0.542593151664229	69.6801599448106	-1.11240963781625	0.273781492726474	-4.06312942024765	4.84191657347067e-05	0.000969871485186882	69.6801599448106	0.800426569073226	0.384661385574593	2.0808602035205	0.0374467037035977	0.156491557953702
DME278684	32.3019596168557	-0.500853597737367	0.235323889608475	-2.12835848740505	0.0333073722413532	0.0945063492636995	32.3019596168557	-1.0333193668788	0.245087016436054	-4.21613262874905	2.48527629137795e-05	0.000569298614794732	32.3019596168557	0.90347500617045	0.346916457244672	2.60430137372598	0.00920617652673367	0.0683300111625631
