Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj
DIVER2	37.7840021584735	-0.125018782031512	0.181404474428307	-0.689171435409774	0.490715390137224	0.714398265485913	37.7840021584735	-0.598219144224495	0.181744256680611	-3.29154359620715	0.000996391716372208	0.00856575459397398
DM_ROO	66.717446400677	0.000946423102422937	0.117619747786746	0.00804646430749775	0.993579919638717	0.996635260640425	66.717446400677	-0.360381916418777	0.117750284881488	-3.06056088765722	0.0022092283603596	0.015718473865147
DM06920	39.1721398367611	0.0685166746835775	0.207641971179625	0.329975073412811	0.741418796759163	0.874671582312925	39.1721398367611	0.0602916674977693	0.207652435757329	0.290348953904054	0.771549291209348	0.878708914988424
DM23420	97.4729385653769	0.211467637724011	0.175266548393791	1.20654876621911	0.227605967749567	0.463702961915658	97.4729385653769	-0.545935658209196	0.175311063979148	-3.11409699888725	0.00184508821035425	0.0137334161328067
DM33463	16.4177081737952	-0.00994387665932018	0.189840177731631	-0.0523802536330187	0.958225707832881	0.981289307323757	16.4177081737952	-0.66732396454939	0.192027881189136	-3.47514100773792	0.000510584885883078	0.00514741785858607
DM88	10.9257080818747	-0.0405511301853194	0.235772187457533	-0.171992848785964	0.863443151065402	0.937251889314509	10.9257080818747	-0.79556552215439	0.239607777282587	-3.32028255166409	0.000899263833279369	0.00789124934300056
DMBARI1	4.47808799536489	-0.138074472665623	0.363853007339846	-0.379478717724762	0.704332405339189	0.853699984666875	4.47808799536489	-1.02584111374079	0.374571208328292	-2.73870786363724	0.00616811550220015	0.0342156192348585
DMBLPP	99.7133304666317	0.517265374899656	0.295610943551487	1.7498180841521	0.0801497091478232	0.238036933364413	99.7133304666317	-1.13144557896821	0.295658557085535	-3.82686565923028	0.000129785299061624	0.0017256377236404
DMCOPIA	4832.17045539916	1.63247166296313	0.163319292665704	9.99558372019539	1.59345643370102e-23	1.16949743130944e-20	4832.17045539916	-1.35339397612318	0.1633191079248	-8.28680730209685	1.16328877911937e-16	5.48490659354782e-14
DMCR1A	22.5114318497243	-0.0491302951475696	0.179055006519636	-0.274386603885224	0.783787536663135	0.895729261812477	22.5114318497243	-0.528693041679459	0.179849709202407	-2.93963801233871	0.0032859589315925	0.0211679298698857
DMDM11	20.579909587564	0.0479456938663721	0.300142481961629	0.159743111181781	0.873083439129577	0.940627649379145	20.579909587564	-0.736043937653386	0.300593840256397	-2.44863280307263	0.0143399555423564	0.0643932289354384
DME010298	69.6801599448106	0.155495397347559	0.205453730424554	0.756839007139174	0.449146320208371	0.680674352593093	69.6801599448106	-0.707966300021012	0.205562702685512	-3.44404062980297	0.000573089574781587	0.0055846622394654
