Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj
DMCR1A	2992.46069037051	0.670101474688606	0.0974102366806284	6.87916894079231	6.02027313383552e-12	8.96336879725846e-11	2992.46069037051	-0.226978482122158	0.097410092367506	-2.33013311665715	0.0197991165985059	0.0798053026596394
RT1B	3214.78393065523	0.201234630096739	0.17597035199607	1.14357121989068	0.252801502937592	0.342119897174954	3214.78393065523	-0.516435300740521	0.175970361484486	-2.93478570131852	0.00333778118986881	0.0202455501864889
DMRTMGD1	2234.23107666982	0.835641214818546	0.0941956505753449	8.87133545672723	7.22738790483116e-19	3.52664876962017e-17	2234.23107666982	-0.568472128918132	0.094195233793355	-6.0350413287921	1.58922008581604e-09	9.23820545537409e-08
BLOOD	2137.62757853579	0.151596021609328	0.187037449382159	0.810511595993721	0.417646203117454	0.514697540965443	2137.62757853579	-1.42489396346008	0.187038071789697	-7.61820280665748	2.57231927848843e-14	5.05763364020446e-12
SPRINGER	2394.8621289104	1.86850439892104	0.43894882052146	4.25677051985538	2.07401044306791e-05	8.07029092660593e-05	2394.8621289104	-0.422721989944346	0.438948736708744	-0.963032706538658	0.335531110108961	0.562655329506685
DMTN1731	3177.80505596654	0.753602257371173	0.0866681939537155	8.69525742942825	3.46044326512323e-18	1.49245569208702e-16	3177.80505596654	0.105885543112465	0.0866681236301404	1.22173572794002	0.221807580700009	0.435152949957317
F	2601.58794749007	0.563175551607257	0.102665557214984	5.48553543062114	4.1221892227902e-08	2.88402249653087e-07	2601.58794749007	-0.460747568119142	0.102665547190964	-4.48784992361774	7.19455798744677e-06	0.000135480620129807
DM14101	2243.13057764992	0.24470899654393	0.148238914299755	1.65077434423934	0.0987846607058869	0.154113292139756	2243.13057764992	0.755506250724667	0.148239633656291	5.09651995279743	3.45954115540643e-07	1.0301573551845e-05
DM23420	2180.19422252651	0.513145560903683	0.113583000555221	4.51780247392045	6.24847319507223e-06	2.70888737412827e-05	2180.19422252651	-0.173845039429154	0.113582964462399	-1.53055557452636	0.125879268459661	0.300429457212723
DME9736	2434.15372200834	0.885780266586187	0.109934333546045	8.05735786095602	7.79611633822994e-16	2.3266534696905e-14	2434.15372200834	-0.0941785563201683	0.109933934103244	-0.856683216955749	0.391619981080417	0.611677470449203
412	1810.11464564381	0.019257889986831	0.119255095077713	0.161484840327211	0.871711550323172	0.908684190536474	1810.11464564381	-0.204591746205454	0.119254904223061	-1.71558350189753	0.086238300236393	0.231387933807059
ROOA_LTR	1683.99250044522	0.774278264758228	0.0852305192280963	9.08451892315806	1.04158275300223e-19	6.00256957225856e-18	1683.99250044522	-0.0575697697432788	0.0852295585560848	-0.675467182026941	0.499378994951206	0.701499565523302
DOC3	1808.32399786074	0.437026882241302	0.0809518330122602	5.3986039102427	6.71614653584208e-08	4.4649201158076e-07	1808.32399786074	-0.293158345899778	0.0809517854245963	-3.62139444315092	0.000293019360155747	0.00289768405716149
DME010298	2026.36029553402	0.979997394220064	0.0856371483483879	11.4436014407352	2.53154081823359e-30	6.63660798819277e-28	2026.36029553402	-0.276824988629969	0.0856352575845952	-3.23260531278844	0.00122666912423127	0.00932910477302164
PPI251	1580.53221268732	0.384661319237179	0.171125931021062	2.24782601293684	0.0245872864562209	0.0463459777131924	1580.53221268732	0.230248568331547	0.171126130664674	1.3454904136337	0.178466915010962	0.377007339377946
QUASIMODO	2258.39910951732	0.728383781373369	0.0721058627106894	10.1015888859948	5.43542926106673e-24	5.76759438257636e-22	2258.39910951732	-0.194189662460975	0.0721050022232331	-2.69315105018337	0.0070780193982131	0.036036983760133
AY561850	1764.00772301575	0.472981006186143	0.14653729976986	3.22771749533375	0.00124782140726951	0.00324705570556507	1764.00772301575	0.624371809021984	0.146538188285373	4.26081294117041	2.03684660748486e-05	0.000324425850299969
STALKER2	1943.30994332922	0.621812189127957	0.298021180026511	2.08646979074656	0.0369360888799689	0.0663044452638539	1943.30994332922	-0.502182086661885	0.298021178065926	-1.68505503508478	0.0919779538196	0.242590094543661
GYPSY4	1357.85960926412	0.621576750352873	0.10332893670636	6.01551482252515	1.79315893161281e-09	1.65684415450334e-08	1357.85960926412	-0.247074244790391	0.103328510625356	-2.39115267698208	0.0167955668620908	0.0700426478309901
INVADER2	1229.15158321664	0.56147142146561	0.0971868345453818	5.77723746320217	7.5937078363504e-09	6.23635588280128e-08	1229.15158321664	-0.29143258715422	0.097186462052408	-2.99869530179074	0.00271138317107484	0.017213292021496
Tinker	891.315634708022	0.527505648470329	0.161489036337211	3.26651059684835	0.0010888173271928	0.00286960135315745	891.315634708022	0.301277027942989	0.161489936079526	1.86560868904317	0.0620961330678569	0.183272692961865
