Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj
1360	1655.92553546951	-0.0440805984868809	0.133106462126205	-0.331167982250823	0.740517603406765	0.873548968076139	1655.92553546951	0.0622702639002439	0.133106475264842	0.467822949832791	0.639911207265625	0.794753621283876
AF222049	1318.18400987198	-0.275107521871051	0.246490254159313	-1.11609898253114	0.264379767647003	0.505637070273414	1318.18400987198	-0.680454894699581	0.246490376343909	-2.76057388037817	0.00576999057677795	0.0338598087433332
DMIS297	1520.10169672946	-0.879939274462611	0.0918847724567706	-9.57655170639509	1.00339095170752e-21	5.61086664090544e-19	1520.10169672946	-0.221300059993595	0.0918792512892623	-2.40859668410747	0.0160139839906253	0.072233166706543
DMCR1A	1599.00541469242	-0.0169154793706751	0.132189890937522	-0.127963486849914	0.898177868702682	0.950978459674712	1599.00541469242	-0.233928872936144	0.132189936783146	-1.76964206677773	0.0767867864134488	0.212877121935136
RT1B	1279.72206832176	-0.0737701641184656	0.144609521152565	-0.510133520466036	0.60995792271039	0.796833450482601	1279.72206832176	-0.390250190208771	0.144609723578786	-2.6986441889999	0.00696225701789405	0.0387407798873713
DMRTMGD1	1973.9109609735	0.99519495651666	0.219551381272182	4.53285673153155	5.81912854602988e-06	0.000120306384711318	1973.9109609735	-1.16342954116899	0.219551496709517	-5.29911915247971	1.16362681908881e-07	4.400337430373e-06
BLOOD	2000.95192687588	-0.127600994342866	0.211464265191637	-0.60341634662116	0.546231750359756	0.754368980886113	2000.95192687588	-1.81368411496613	0.211465645008044	-8.57673176603764	9.76068836221666e-18	7.18673742528623e-15
SPRINGER	1705.92237456363	1.74906135160912	0.465119747174501	3.76045386641672	0.000169605352720935	0.00207250328512168	1705.92237456363	-0.349713659904827	0.465119583084775	-0.751879027723255	0.452123811307115	0.650435132466063
DMTN1731	689.661817734986	0.187504574222175	0.155687404496915	1.20436572777401	0.228448252480802	0.463728233168894	689.661817734986	0.462726805001326	0.155688956846004	2.97212348502676	0.00295747707889592	0.0202731328568128
F	1245.71685806099	-0.0184652642948244	0.154028300484962	-0.119882282909609	0.904576399437441	0.953198192623283	1245.71685806099	-0.340769152403509	0.154028438358755	-2.21237815584293	0.0269405469321643	0.104110782942235
DM14101	1029.53907506907	0.146414398447755	0.182286632677528	0.803209737857011	0.421853518042559	0.656744778254511	1029.53907506907	1.01494752355695	0.182288860241328	5.56779784685298	2.57978865686515e-08	1.2094087871903e-06
DM23420	1122.54293537306	0.211922078379217	0.125873144309882	1.68361630704556	0.0922558451600242	0.260485787380179	1122.54293537306	-0.248862996684736	0.125873169848813	-1.97709326764112	0.0480310886392713	0.155269032105282
DME9736	771.28807806842	0.319527405329541	0.157380383531457	2.03028737228662	0.0423273370427944	0.153837796005427	771.28807806842	-0.0836138841414132	0.157380034965369	-0.531286475821488	0.595220275766659	0.763165505138793
412	1311.18401806268	-0.474824366144273	0.093111221482306	-5.0995396536013	3.40480537530696e-07	9.79966409858568e-06	1311.18401806268	-0.209736058688037	0.0931092788313029	-2.25257956371932	0.0242856708650351	0.0970883878050605
ROOA_LTR	1396.17593656695	0.125321398576739	0.0382242341121036	3.27858494716199	0.00104328958582487	0.00935217527201635	1396.17593656695	-0.16502042627521	0.038224637942191	-4.31712202283716	1.58076779884121e-05	0.000313077065476193
DOC3	1046.50010069421	0.0650569650465346	0.115067284571218	0.565381944042219	0.571814003086486	0.772794549228289	1046.50010069421	-0.310833096786659	0.115067672588244	-2.70130689006755	0.00690675758103751	0.0385194778335441
DME010298	791.858036657837	0.167675756988143	0.182352604498229	0.919513913440003	0.357826831543726	0.600473748475701	791.858036657837	-0.396256522352369	0.182352874084403	-2.17302043821343	0.0297787790610303	0.111608019877628
PPI251	1113.5108834654	0.17109327716608	0.175158316887648	0.976792196946177	0.328672039894968	0.570862896873104	1113.5108834654	0.216429222836799	0.175158414795606	1.23561989921725	0.216599884393837	0.413604996637323
QUASIMODO	519.334883795633	-0.118159917782856	0.0968527318846467	-1.21999571394214	0.222466499685802	0.456478089430434	519.334883795633	-0.44661517858584	0.0968580931336793	-4.61102592603636	4.00686556029271e-06	9.5447211399365e-05
AY561850	906.713659145259	0.19505822712873	0.221260232815697	0.881578332655955	0.378004876516644	0.618836088796174	906.713659145259	0.706981431471473	0.221260965317121	3.19523794203011	0.00139715600980943	0.011550991925221
STALKER2	820.326005179548	0.146532866638303	0.32466822056875	0.451331104663119	0.651750930018116	0.819960485451333	820.326005179548	-0.372426400544791	0.324668260071192	-1.14709827336718	0.251341007409084	0.453907861742822
GYPSY4	757.09497472994	0.0352594247880239	0.13657420406873	0.258170457799482	0.796275356513991	0.900660904598709	757.09497472994	-0.334202654499048	0.13657473995294	-2.44703123443036	0.0144038355992655	0.0666942219633321
INVADER2	699.537068560705	-0.0148876055545979	0.120990928361659	-0.123047287562723	0.902069652391762	0.952211380296719	699.537068560705	-0.382797417369556	0.120992150930931	-3.163820251349	0.0015571293253612	0.0125751241169312
Tinker	956.9301030134	0.372211342961628	0.175799783653975	2.11724573958662	0.0342389973248769	0.13270011835057	956.9301030134	0.287724776660628	0.175799815242695	1.63666142801924	0.101701232687678	0.255750495525385
BAGGINS	588.825360542689	-0.0789450261693189	0.184791287578069	-0.427211841012617	0.669225037536813	0.830467041719834	588.825360542689	-0.294937183995565	0.184791476914768	-1.59605404383233	0.11047672780582	0.269611464602349
