Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj
FBgn0086667	24312.960415482	-1.31032042298763	0.181427811903592	-7.22226878690416	5.11272879583612e-13	6.18956435561892e-11	24312.960415482	0.0515019423469923	0.181427804819468	0.283870173032408	0.776509875068949	0.881984616858245
FBgn0011669	19.0620386980936	-0.148844226117083	0.716708090086948	-0.207677614046502	0.835480697986584	0.923653722129209	19.0620386980936	-2.99752730016594	0.7191740667804	-4.16801361259491	3.0726558891863e-05	0.000551009079727004
FBgn0017581	11365.1189549545	0.194031752087659	0.0460275623739693	4.21555568185798	2.49163902636387e-05	0.000412103057557619	11365.1189549545	-0.00394107219541587	0.0460275461973898	-0.0856242081321155	0.931765153821742	0.970758943080026
FBgn0039713	20882.9891794871	0.0132752203658085	0.0366708315996684	0.362010344099439	0.717344300501701	0.860534694125189	20882.9891794871	0.269643439048299	0.0366708856584601	7.35306590518877	1.93711363432493e-13	3.51403642910798e-11
FBgn0046696	13699.3079974098	0.101435522289746	0.126871002376359	0.799516992770664	0.423990697458497	0.658153829658874	13699.3079974098	0.183918483577461	0.126871003958264	1.4496494694561	0.147156293407582	0.325318849272819
FBgn0003274	21135.0945897836	-0.131851494047581	0.0590338461653803	-2.23348981325401	0.0255166613465868	0.109279699103172	21135.0945897836	0.319356792125676	0.0590338596204198	5.40972238947444	6.31225211446129e-08	2.56527466612701e-06
FBgn0039757	19893.5176373863	0.0213024193621974	0.0470090038561626	0.453156153390917	0.650436302888498	0.819960485451333	19893.5176373863	0.24070145364217	0.047009027444749	5.12032404680299	3.05011087206887e-07	1.04027020492862e-05
FBgn0033912	20137.317332178	0.00689196277852985	0.0482713105917305	0.142775547090916	0.886467449796054	0.945335149344612	20137.317332178	0.242066673324356	0.0482713318575843	5.01470881388832	5.31138416433807e-07	1.67462457392997e-05
FBgn0261599	18949.8124315095	0.0324090026071877	0.0439689227512655	0.73708884774201	0.461068320657122	0.68945947911328	18949.8124315095	0.280079403758452	0.0439689636007791	6.3699341722371	1.89109348365838e-10	1.53674200127158e-08
FBgn0001942	16981.2185781147	-0.0377839775451422	0.0323205615400876	-1.16903839985201	0.242388160495763	0.479508788527923	16981.2185781147	0.214664082453543	0.0323206379297896	6.64170314088043	3.10079009161412e-11	3.18135980137163e-09
FBgn0000355	27574.9709333407	-0.0976911915223314	0.094692399272033	-1.03166877461499	0.302227310054206	0.546208840852706	27574.9709333407	0.420966121351146	0.0946924028607261	4.4456166348456	8.76401156385269e-06	0.000188486482379285
FBgn0003942	20083.6539070451	0.0390309046423381	0.0574665916106476	0.679192963222589	0.497015605333014	0.717154994689265	20083.6539070451	0.221112881376866	0.0574666027381412	3.84767623004293	0.000119243497146473	0.00169610324293454
FBgn0003517	19869.9448065417	-0.160955693320355	0.0402827997512895	-3.99564316070663	6.45188542756506e-05	0.000921709131093631	19869.9448065417	0.284131286069978	0.0402828323422823	7.05340884810982	1.74586892543002e-12	2.34978939135565e-10
FBgn0028697	18769.6213795044	0.0546190590058731	0.0489662529738702	1.1154428956412	0.264660676286983	0.505897907991858	18769.6213795044	0.191854858673244	0.0489662694750181	3.91810241478831	8.92487880321481e-05	0.00134593624072096
FBgn0000416	13501.0918656196	0.201186252678368	0.0324052325788363	6.20844958260729	5.35098839358345e-10	3.23900292298198e-08	13501.0918656196	-0.00341655358439831	0.0324051961027367	-0.105432276156162	0.916032806110687	0.962797459986367
FBgn0263006	6978.75078035268	-1.21882822052651	0.139828833893886	-8.71657287402869	2.86749425992731e-18	8.01737740341104e-16	6978.75078035268	-0.309644954309667	0.139828677311314	-2.21445958199459	0.0267971801302982	0.103748934021324
FBgn0005593	18736.5940189095	0.0335251964866316	0.0359079395013579	0.933643003530286	0.350488074781069	0.593337521876407	18736.5940189095	0.231368885450241	0.0359079957103195	6.44338066977514	1.16841143003414e-10	1.02992999082658e-08
FBgn0039830	13990.0352254186	-0.412125550609841	0.0804296331295681	-5.12405110621265	2.99039871227285e-07	8.71371019310672e-06	13990.0352254186	-0.0794443797235666	0.080429611257899	-0.987750387961305	0.323274910384775	0.530171998107466
FBgn0285948	18670.5047859022	0.0372230712717108	0.0562131558359212	0.662177220228661	0.507857651487529	0.725961339186617	18670.5047859022	0.305205706084939	0.0562131791115939	5.42943329141815	5.65332789893378e-08	2.33425496095523e-06
FBgn0004419	24838.2627361528	0.145695693832091	0.0541194397573539	2.6921138593696	0.00710007012045574	0.0426454765602682	24838.2627361528	-0.0768750410179291	0.0541194386412175	-1.42047003716297	0.155470885614032	0.337500706769136
FBgn0285950	18032.6315180027	0.00223425246050349	0.0315238923675816	0.0708748917948072	0.943497326555279	0.973531478887815	18032.6315180027	0.250087898902673	0.0315239923148222	7.93325592790116	2.13473876287948e-15	6.851416691016e-13
FBgn0000100	18005.4800370896	-0.156468495810714	0.0347047057749487	-4.50856713280824	6.52669177194664e-06	0.000131237913489674	18005.4800370896	0.292860783643879	0.0347047740839129	8.43863103490513	3.21075876254076e-17	1.82677579230558e-14
FBgn0003863	11478.8094517944	-0.628284331458944	0.129609280374356	-4.84752580713544	1.25010774429726e-06	3.11677605972033e-05	11478.8094517944	0.414160329681881	0.12960927143759	3.19545295709272	0.00139611540667876	0.0115500175448764
FBgn0014184	11574.7068410587	-0.0398788646892563	0.0606312334584018	-0.65772807865795	0.510712876359166	0.727563525773874	11574.7068410587	-0.00825370836589798	0.0606312321097111	-0.136129649335891	0.891718788916375	0.948796674674113
FBgn0263594	18914.2150489895	0.0367530955611458	0.0413141972160613	0.889599654301348	0.373680891916433	0.614456146436766	18914.2150489895	0.110629281128508	0.0413142097211372	2.67775377709592	0.00741176811774516	0.0405802353681475
FBgn0000116	7441.20081584113	-0.712404297404889	0.120154651331717	-5.92906133478026	3.04671277097367e-09	1.48454556305161e-07	7441.20081584113	-0.261222437403575	0.120154587563446	-2.17405296544036	0.0297011577038986	0.11144166396274
FBgn0011284	17516.2326033328	0.0201125564273175	0.0392187568948108	0.512830033885614	0.608070218793194	0.795600858349533	17516.2326033328	0.254175808655148	0.0392188140773944	6.48096620549407	9.1137085674712e-11	8.57716467210804e-09
FBgn0037874	16870.1984032938	-0.0294110663153885	0.0466991875591085	-0.629798243880841	0.528826594779755	0.740950736970025	16870.1984032938	0.130029148015708	0.0466991991550674	2.7843978134173	0.00536272160541161	0.0320101031640139
FBgn0250815	13940.389905727	-0.851329661736692	0.122105182590667	-6.97210096798759	3.122423169856e-12	3.18840132901035e-10	13940.389905727	0.509028039291772	0.122105166295141	4.16876742185829	3.06251293963471e-05	0.000549978112846594
FBgn0086472	16524.2010672122	0.08091678220832	0.0353790557386378	2.28713798372945	0.0221877704371783	0.0988808304530492	16524.2010672122	0.252218187276029	0.0353791413856813	7.12900814992948	1.01094749126699e-12	1.48870938213988e-10
FBgn0000121	5316.30945377253	0.0666534589060912	0.110726522279052	0.601964710298691	0.547197628185948	0.755258785588574	5316.30945377253	0.265142546500548	0.110726551870529	2.39457060679155	0.0166398393353018	0.0742732029288325
FBgn0039857	15690.806645333	0.00532600828622018	0.0349375490634226	0.152443672466887	0.878837013922313	0.942999182610537	15690.806645333	0.250734850816928	0.0349376467046869	7.17663822455711	7.14464148605314e-13	1.09060338391375e-10
FBgn0033246	8142.26485171152	-0.0961949799550899	0.0966285139310466	-0.995513394977117	0.319486632762451	0.562400348408928	8142.26485171152	-0.21683169310196	0.0966285146988717	-2.24397212124893	0.0248341951444555	0.0985435771462843
FBgn0000064	6708.82093914098	-0.923644109674505	0.101659490393274	-9.0856653530462	1.0306634409538e-19	4.0343602623735e-17	6708.82093914098	-0.480278578727182	0.101659291091695	-4.72439433296834	2.3080218380469e-06	5.94434348700267e-05
FBgn0001234	5877.08226669763	-0.340292334573472	0.118224503120286	-2.8783570714376	0.00399752380654619	0.0274199311099719	5877.08226669763	-0.692099396630621	0.118224553210595	-5.85410879411633	4.79574627718502e-09	2.67983732819307e-07
FBgn0011211	10813.8682377337	-0.459371825289477	0.0794734689815918	-5.78019093888905	7.46158923357115e-09	3.28939929004235e-07	10813.8682377337	-0.0658312847969693	0.0794734223824467	-0.828343398629193	0.407476051574825	0.612104956256764
FBgn0014026	15777.1001969949	-0.194616278033172	0.0504634818206423	-3.85657649872196	0.000114986124144316	0.00148545880729011	15777.1001969949	0.334624820165156	0.0504635159503245	6.63102468909531	3.33364464229949e-11	3.36509919255344e-09
FBgn0000359	21800.5977266353	-0.0416460371300109	0.101171376757531	-0.411638533197195	0.680604383871935	0.837641852941353	21800.5977266353	0.358008711706533	0.101171380456618	3.53863622390767	0.000402199698346772	0.00443851743922889
FBgn0002593	15306.5299352035	0.0492298685800283	0.0483479010681235	1.01824210549827	0.308562914110905	0.552019241377872	15306.5299352035	0.259219167926642	0.0483479425574683	5.36153462204775	8.25179026909391e-08	3.23785764257832e-06
FBgn0003943	8163.16785650292	0.0801048465586288	0.0406005177946972	1.97300061451658	0.0484954923251063	0.168935795423828	8163.16785650292	-0.0714013534798086	0.0406005147330364	-1.75863173039305	0.078640079902444	0.216433131077153
FBgn0263413	6557.96024615271	0.549525194766545	0.503377504956272	1.09167610661164	0.274975490912279	0.516499405881031	6557.96024615271	-4.9139983091925	0.503378423895808	-9.76203602681553	1.63832527761019e-22	3.41781958330779e-19
FBgn0261592	15118.8427665516	0.0194143180031828	0.0378066700746449	0.513515682943021	0.607590643282304	0.795333510652557	15118.8427665516	0.214156895669317	0.0378067351312692	5.66451704770965	1.47439204290278e-08	7.23724125529966e-07
FBgn0031176	8094.34975142337	-0.0609491143963842	0.127480641247307	-0.478104862040548	0.632575571710138	0.812106148310063	8094.34975142337	0.279890489359954	0.127480649601294	2.19555273867316	0.0281239721620498	0.107686680805255
FBgn0033926	4561.64884108352	1.57882915131965	0.2734601737462	5.77352500618599	7.76300792071454e-09	3.36387461302402e-07	4561.64884108352	0.256911269059144	0.273460092011811	0.939483590344318	0.34748251347333	0.554351086049666
FBgn0004649	21253.5252561096	-0.148834329423683	0.0690604299298788	-2.15513181100673	0.0311515210328345	0.124680406096992	21253.5252561096	-0.0105347757330069	0.0690604275316457	-0.152544316760558	0.878757639681433	0.942118934912983
FBgn0036213	15077.0816285073	-0.053409204851084	0.0439454097848133	-1.21535343765394	0.224231318834566	0.458896545324906	15077.0816285073	0.251864233061991	0.0439454590738232	5.73129143192904	9.96688503436167e-09	5.21989539644791e-07
